word	module	band	note
강원도	m31	4	province
경기도	m31	4	province
경상도	m31	4	province
전라도	m31	4	province
충청도	m31	4	province
대한민국	m31	4	official country name
북한	m31	4	North Korea
수도	m31	4	capital (C)
통일	m31	4	unification
대구	m31	4	city
대전	m31	4	city
광주	m31	4	city
울산	m31	4	city
남산	m31	4	Seoul landmark
종로	m31	4	Seoul landmark
동대문	m31	4	Seoul landmark
덕수궁	m31	4	palace
시청	m31	4	city hall
한라산	m31	4	mountain
백두산	m31	4	mountain (C)
국가	m31	4	nation
지역	m31	4	region
방향	m31	4	direction
위치	m31	4	location
주변	m31	4	surroundings
부근	m31	4	vicinity
국내	m31	4	domestic
해외	m31	4	overseas
전국	m31	4	nationwide
국제	m31	4	international
동양	m31	4	the East
서양	m31	4	the West
아시아	m31	4	continent
유럽	m31	4	continent
아프리카	m31	4	continent
뉴욕	m31	4	world city
도쿄	m31	4	world city
베이징	m31	4	world city
파리	m31	4	world city
런던	m31	4	world city
사회	m32	4	society — the 회사 flip
경제	m32	4	economy
정치	m32	4	politics
정부	m32	4	government (C)
대통령	m32	4	president
국민	m32	4	citizens
교육	m32	4	education
방송	m32	4	broadcasting
광고	m32	4	advertisement
프로그램	m32	4	program (Konglish)
인간	m32	4	human being
여성	m32	4	female, formal
남성	m32	4	male, formal
민족	m32	4	ethnic people
자기	m32	4	oneself
당신	m32	4	you — careful
전쟁	m32	4	war
평화	m32	4	peace
경우	m32	4	case
정도	m32	4	degree/about
방법	m32	4	method
결과	m32	4	result
내용	m32	4	contents
의미	m32	4	meaning
관계	m32	4	relationship
변화	m32	4	change
환경	m32	4	environment
연구	m32	4	research
부분	m32	4	part
대부분	m32	4	most
점	m32	4	point
글	m32	4	writing
가지	m32	4	kind/sort
이상	m32	4	or more
최근	m32	4	recently, formal
결국	m32	4	in the end
대하다	m32	4	에 대해서 frame
위하다	m32	4	을 위해서 frame
통하다	m32	4	을 통해서 frame
따르다	m32	4	follow/pour + 에 따르면
나타나다	m32	4	appear
느끼다	m32	4	feel
특히	m32	4	especially
이미	m32	4	already
역시	m32	4	as expected
없이	m32	4	without
이렇게	m33	4	manner trio
그렇게	m33	4	manner trio
저렇게	m33	4	manner trio
성함	m33	4	honorific name
제목	m33	4	title
인터뷰	m33	4	Konglish
부탁	m33	4	favor
표현	m33	4	expression
문장	m33	4	sentence
회화	m33	4	conversation
칭찬	m33	4	compliment
정보	m33	4	information
속담	m33	4	proverb (C)
상대방	m33	4	counterpart
안부	m33	4	regards (C)
만약	m33	4	if
경험	m33	4	experience
기회	m33	4	opportunity
목적	m33	4	purpose
결정하다	m33	4	decide
선택하다	m33	4	choose
정하다	m33	4	set/fix
알아듣다	m33	4	catch by hearing
여쭈다	m33	4	humble ask
사과하다	m33	4	apologize
거절하다	m33	4	refuse (C)
전하다	m33	4	convey
조용히	m33	4	quietly
솔직히	m33	4	frankly
그만	m33	4	stop
어쨌든	m33	4	anyway (C)
웃음	m33	4	laughter, -ㅁ
미소	m33	4	smile
소개	m33	4	introduction
순서	m33	4	order/turn
상황	m33	4	situation (C)
태도	m33	4	attitude
사투리	m33	4	dialect (C)
기억	m34	4	memory
이해	m34	4	understanding
고민	m34	4	dilemma
정신	m34	4	mind
느낌	m34	4	feeling, -ㅁ
믿음	m34	4	trust, -ㅁ
희망	m34	4	hope
기대	m34	4	anticipation
예상	m34	4	prediction
판단	m34	4	judgment
의심	m34	4	doubt (C)
아이디어	m34	4	idea (C, Konglish)
모습	m34	4	figure
표정	m34	4	facial expression
모양	m34	4	shape
상태	m34	4	condition (C)
상상하다	m34	4	imagine
결심하다	m34	4	resolve
후회하다	m34	4	regret
바라다	m34	4	hope/wish
원하다	m34	4	want a noun
고르다	m34	4	pick, native
긴장하다	m34	4	nervous
확실하다	m34	4	certain
당연하다	m34	4	of course
분명하다	m34	4	evident (C)
기쁘다	m34	4	glad
외롭다	m34	4	lonely
부끄럽다	m34	4	shy
답답하다	m34	4	stifling
우울하다	m34	4	gloomy
아쉽다	m34	4	wistful (C)
짜증	m34	4	irritation
어쩌면	m34	4	maybe
왠지	m34	4	somehow
마치	m34	4	as if
괜히	m34	4	needlessly
일부러	m34	4	on purpose (C)
차라리	m34	4	rather (C)
청소년	m35	4	teenager
자라다	m35	4	grow up
늙다	m35	4	grow old
찌다	m35	4	gain weight
빠지다	m35	4	fall out/into
다이어트	m35	4	diet (Konglish)
몸무게	m35	4	body weight
습관	m35	4	habit, Sino
버릇	m35	4	habit, native
성공하다	m35	4	succeed
실패하다	m35	4	fail — 失-family
발전하다	m35	4	develop
포기하다	m35	4	give up
계속하다	m35	4	continue
이루다	m35	4	achieve
이루어지다	m35	4	come true — glue in vocab
늘다	m35	4	increase
줄다	m35	4	decrease
얻다	m35	4	obtain
남다	m35	4	remain
붙다	m35	4	stick/pass
바뀌다	m35	4	get changed
사라지다	m35	4	vanish
달라지다	m35	4	become different
흐르다	m35	4	flow
키우다	m35	4	raise
기르다	m35	4	raise, formal
과거	m35	4	the past
현재	m35	4	the present
세월	m35	4	the years (C)
예전	m35	4	the old days
새로	m35	4	newly
새롭다	m35	4	feel new (C)
성적	m35	4	grades
식물	m35	4	plant
오래되다	m35	4	old (things)
점점	m35	4	gradually
마침내	m35	4	at last
드디어	m35	4	finally (C)
